feast_id,image_path,license,credit,source,kind,tag,title,era,by
FF-0001,icons/permission/legacy-icons/feasts/FF-0001-resurrection-of-christ-icon-f281.jpg,Permission:legacy-icons,,https://legacyicons.com/resurrection-of-christ-bamberg-icon-f281/,shop,Available to order,Resurrection of Christ (Bamberg),,Legacy Icons
FF-0001,icons/permission/legacy-icons/feasts/FF-0001-resurrection-of-christ-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/resurrection-of-christ-chimev-icon-f380/,shop,Available to order,Resurrection of Christ,,Chimev
FF-0001,icons/permission/legacy-icons/feasts/FF-0001-resurrection-of-christ-whirledge-icon-f404.jpg,Permission:legacy-icons,,https://legacyicons.com/resurrection-of-christ-whirledge-icon-f404/,shop,Available to order,Resurrection of Christ (Whirledge),,Legacy Icons
FF-0001,icons/permission/theophany-works/feasts/FF-0001-21st-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-resurrection-of-christ-21st-c-00fpa001/,shop,Available to order,Resurrection of Christ,21st c.,Theophany Works
FF-0001,icons/permission/theophany-works/feasts/FF-0001-crete-15th-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-resurrection-of-christ-crete-15th-c-00ljc013/,shop,Available to order,Resurrection of Christ (Crete),15th c.,Theophany Works
FF-0001,icons/permission/theophany-works/feasts/FF-0001-greek-14th-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-resurrection-of-christ-greek-14th-c-00fpa002/,shop,Available to order,Resurrection of Christ (Greek),14th c.,Theophany Works
FF-0001,icons/permission/theophany-works/feasts/FF-0001-protaton-13th-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-resurrection-of-christ-protaton-mt-athos-13th-c-00fpa004/,shop,Available to order,Resurrection of Christ (Protaton, Mt Athos),13th c.
FF-0002,icons/permission/legacy-icons/feasts/FF-0002-nativity-of-the-theotokos-athos-icon-f257.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-the-theotokos-athos-icon-f257/,shop,Available to order,Nativity of the Theotokos (Athos),,Legacy Icons
FF-0002,icons/permission/legacy-icons/feasts/FF-0002-nativity-of-the-theotokos-icon-f167.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-the-theotokos-icon-f167/,shop,Available to order,Nativity of the Theotokos,,Legacy Icons
FF-0002,icons/permission/legacy-icons/feasts/FF-0002-nativity-of-the-theotokos-novgorod-icon-f166.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-the-theotokos-novgorod-icon-f166/,shop,Available to order,Nativity of the Theotokos (Novgorod),,Legacy Icons
FF-0003,icons/permission/legacy-icons/feasts/FF-0003-exaltation-of-the-cross-old-believer-icon-f1.jpg,Permission:legacy-icons,,https://legacyicons.com/exaltation-of-the-cross-old-believer-icon-f135/,shop,Available to order,Exaltation of the Cross (Old Believer),,Legacy Icons
FF-0004,icons/permission/legacy-icons/feasts/FF-0004-entrance-of-the-theotokos-into-the-temple-xv.jpg,Permission:legacy-icons,,https://legacyicons.com/entrance-of-the-theotokos-into-the-temple-xviic-icon-f171/,shop,Available to order,Entrance of the Theotokos into the Temple,17th c.,Legacy Icons
FF-0004,icons/permission/legacy-icons/feasts/FF-0004-entrance-of-the-theotokos-whirledge-icon-f41.jpg,Permission:legacy-icons,,https://legacyicons.com/entrance-of-the-theotokos-whirledge-icon-f418/,shop,Available to order,Entrance of the Theotokos (Whirledge),,Legacy Icons
FF-0004,icons/permission/legacy-icons/feasts/FF-0004-entrance-of-the-theotokos-xxic-icon-f193.jpg,Permission:legacy-icons,,https://legacyicons.com/entrance-of-the-theotokos-xxic-icon-f193/,shop,Available to order,Entrance of the Theotokos,21st c.,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-bamberg-icon-f279.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-bamberg-icon-f279/,shop,Available to order,Nativity of Christ (Bamberg),,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-crete-xvc-icon-f295.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-crete-xvc-icon-f295/,shop,Available to order,"Nativity of Christ (Crete, XVc)",15th c.,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-icon-f164.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-icon-f164/,shop,Available to order,Nativity of Christ,,Legacy Icons
FF-0005,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-sinai-icon-f340.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-sinai-icon-f340/,shop,Available to order,Nativity of Christ (Sinai),,Legacy Icons
