host_id,image_path,license,credit,source,kind,tag,title,era,by
HH-0010,icons/permission/theophany-works/michael-corfu.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-archangel-michael-detail-corfu-20th-c-00ami002/,shop,Available,Archangel Michael (detail),"after a Corfu icon, 20th c.",
HH-0010,icons/permission/theophany-works/michael-21c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-archangel-michael-21st-c-00ami003/,shop,Available,Archangel Michael,21st c.,
HH-0011,icons/hosts/gabriel-martorana.jpg,CC-BY-2.5,"Jastrow, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:St_Gabriel_La_Martorana_Palermo_2008-08-27.jpg,museum,Byzantine,Archangel Gabriel,"12th-c. mosaic, La Martorana, Palermo",
HH-0011,icons/permission/theophany-works/gabriel-corfu.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-archangel-gabriel-detail-corfu-20th-c-00agi002/,shop,Available,Archangel Gabriel (detail),"after a Corfu icon, 20th c.",
HH-0011,icons/permission/theophany-works/annunciation.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-annunciation-20th-c-00fan002/,shop,Available,The Annunciation,20th c.,
HH-0018,icons/permission/theophany-works/guardian-angel-girl.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-guardian-angel-for-girl-00aga002/,shop,Available,Guardian Angel (for a girl),contemporary,
HH-0010,icons/permission/legacy-icons/HH-0010-archangel-michael-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-michael-poulakis-icon-s446/,shop,Available to order,Archangel Michael,,Poulakis
HH-0010,icons/permission/legacy-icons/HH-0010-archangel-michael-icon-s122.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-michael-koufos-icon-s122/,shop,Available to order,Archangel Michael,,Koufos
HH-0010,icons/permission/legacy-icons/HH-0010-archangel-michael-icon-s588.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-michael-clark-icon-s588/,shop,Available to order,Archangel Michael,,Clark
HH-0010,icons/permission/legacy-icons/HH-0010-archangel-michael-icon-s121.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-michael-icon-s121/,shop,Available to order,Archangel Michael,,Legacy Icons
HH-0011,icons/permission/legacy-icons/HH-0011-archangel-gabriel-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-gabriel-koufos-icon-s111/,shop,Available to order,Archangel Gabriel,,Koufos
HH-0011,icons/permission/legacy-icons/HH-0011-archangel-gabriel-icon-s589.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-gabriel-clark-icon-s589/,shop,Available to order,Archangel Gabriel,,Clark
HH-0012,icons/permission/legacy-icons/HH-0012-archangel-raphael-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-raphael-icon-s421/,shop,Available to order,Archangel Raphael,,Legacy Icons
HH-0011,icons/permission/legacy-icons/HH-0011-archangel-gabriel-icon-s420.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-gabriel-icon-s420/,shop,Available to order,Archangel Gabriel,,Legacy Icons
HH-0011,icons/permission/legacy-icons/HH-0011-archangel-gabriel-icon-s113.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-gabriel-sinai-icon-s113/,shop,Available to order,Archangel Gabriel (Sinai),,Legacy Icons
HH-0013,icons/permission/legacy-icons/HH-0013-archangel-uriel-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-uriel-icon-s408/,shop,Available to order,Archangel Uriel,,Legacy Icons
HH-0016,icons/permission/legacy-icons/HH-0016-archangel-barachiel-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-barachiel-icon-s424/,shop,Available to order,Archangel Barachiel,,Legacy Icons
HH-0018,icons/permission/legacy-icons/HH-0018-guardian-angel-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/guardian-angel-icon-s587/,shop,Available to order,Guardian Angel,,Legacy Icons
HH-0018,icons/permission/legacy-icons/HH-0018-guardian-angel-and-child-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/guardian-angel-and-child-icon-s263/,shop,Available to order,Guardian Angel and Child,,Legacy Icons
HH-0018,icons/permission/legacy-icons/HH-0018-guardian-angel-icon-s131.jpg,Permission:legacy-icons,,https://legacyicons.com/guardian-angel-old-believer-icon-s131/,shop,Available to order,Guardian Angel (Old Believer),,Legacy Icons
HH-0002,icons/permission/legacy-icons/HH-0002-cherub-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/cherub-athos-icon-s353/,shop,Available to order,Cherub (Athos),,Legacy Icons
HH-0015,icons/permission/legacy-icons/HH-0015-archangel-jehudiel-icon.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-jehudiel-icon-s423/,shop,Available to order,Archangel Jehudiel,,Legacy Icons
HH-0012,icons/permission/legacy-icons/HH-0012-archangel-raphael-icon-s391.jpg,Permission:legacy-icons,,https://legacyicons.com/archangel-raphael-icon-s391/,shop,Available to order,Archangel Raphael,,Legacy Icons
