host_id,image_path,license,credit,source
HH-0001,icons/hosts/seraphim.jpg,CC-BY-SA-4.0,"Bff, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Voznesenskaya_Davidova_Pustyn_-_St_Nicholas_Church_-_20170813_9412.jpg
HH-0003,icons/hosts/thrones.jpg,PD,"John Kratovo (1836), via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Ezekiel%27s_Wheel_John_Kratovo.jpg
HH-0004,icons/hosts/dominions.jpg,CC-BY-SA-3.0,"MatthiasKabel / Sailko, via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Mosaici_del_battistero,_angeli,_dominazioni2.jpg"
HH-0005,icons/hosts/virtues.jpg,CC-BY-2.5,"Marie-Lan Nguyen, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Battistero_di_San_Giovanni_mosaics_n06.jpg
HH-0002,icons/hosts/cherubim.jpg,PD,"Unknown engraver (1773), via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Cherubim_Bate.jpg
HH-0006,icons/hosts/powers.jpg,CC-BY-3.0,"Sailko, via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Andrea_tafi_e_apollonio_(attr.),_gerarchie_angeliche_del_battistero_di_firenze,_dal_1225,_potestà.JPG"
HH-0007,icons/hosts/principalities.jpg,CC-BY-SA-3.0,"MatthiasKabel / Sailko, via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Mosaici_del_battistero,_angeli,_principati.jpg"
HH-0008,icons/hosts/archangels-synaxis.jpg,PD,"Russian Orthodox icon of the Synaxis of the Archangels, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Archangels.JPG
HH-0009,icons/permission/theophany-works/white-angel-of-the-resurrection.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-white-angel-of-the-resurrection-00awa001/
HH-0010,icons/permission/theophany-works/michael-standing-hero.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-archangel-michael-standing-00ami001/
HH-0011,icons/permission/theophany-works/gabriel-standing-hero.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-archangel-gabriel-standing-00agi001/
HH-0013,icons/hosts/uriel.jpg,PD,"James Powell & Sons (Whitefriars), St John's Church, Warminster; via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:St_Uriel,_St_John%27s_Church,_Warminster,_Wiltshire.jpg"
HH-0012,icons/hosts/raphael.jpg,PD,"Orthodox icon of Archangel Raphael, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Raphaelangel.jpg
HH-0014,icons/hosts/selaphiel.jpg,PD,"Bartolomé Román (17th c.), Museo del Prado; via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:El_Arcángel_Seatiel_con_incensario,_de_Bartolomé_Román_(Museo_del_Prado).jpg"
HH-0015,icons/hosts/jegudiel.jpg,PD,"Orthodox icon of Archangel Jegudiel, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Jegudil.jpg
HH-0016,icons/hosts/barachiel.jpg,PD,"Bartolomé Román (17th c.), Museo del Prado; via Wikimedia Commons","https://commons.wikimedia.org/wiki/File:El_Arcángel_Baraquiel_esparciendo_flores,_de_Bartolomé_Román_(Museo_del_Prado).jpg"
