date,tradition,title,epistle,gospel,matins,vespers,other
2030-01-01,greek,Tuesday of the 32nd week after Pentecost,2 Timothy 4.5-8 ~ Sunday before Theophany || Colossians 2.8-12 ~ Circumcision || Hebrews 7.26-8.2 ~ St Basil,"Mark 1.1-8 ~ Sunday before Theophany || Luke 2.20-21, 40-52 ~ Circumcision || Luke 6.17-23 ~ St Basil",John 10.9-16,"Composite 1 - Genesis 17.1-2, 4, 5-7, 8, 9-10, 11-12, 14 || Proverbs 8.22-30 || Proverbs 10.31-11.12",
2030-01-01,slavic,Tuesday of the 32nd week after Pentecost,James 3.1-10,Mark 10.2-12,,,
2030-01-02,greek,Wednesday of the 32nd week after Pentecost,James 3.11-4.6 || Galatians 5.22-6.2 ~ St Seraphim || Hebrews 5.4-10 ~ Forefeast of Theophany,Mark 12.28-37 || Luke 6.17-23 ~ St Seraphim || John 3.1-15 ~ Forefeast of Theophany,Matthew 11.27-30,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2030-01-02,slavic,Wednesday of the 32nd week after Pentecost,James 3.11-4.6,Mark 10.11-16,,,
2030-01-03,greek,Thursday of the 32nd week after Pentecost,James 4.7-5.9,Mark 12.38-44,,,
2030-01-03,slavic,Thursday of the 32nd week after Pentecost,James 4.7-5.9,Mark 10.17-27,,,
2030-01-04,greek,Friday of the 32nd week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10 || 1 Corinthians 4.9-16 ~ Forefeast of Theophany",Mark 13.1-8 || John 1.18-28 ~ Forefeast of Theophany,,,"1st Hour, Prophecy :: Isaiah 35.1-10 || 1st Hour, Epistle :: Acts 13.25-33 || 1st Hour, Gospel :: Matthew 3.1-11 || 3rd Hour, Prophecy :: Isaiah 1.16-20 || 3rd Hour, Epistle :: Acts 19.1-8 || 3rd Hour, Gospel :: Mark 1.1-8 || 6th Hour, Prophecy :: Isaiah 12.3-6 || 6th Hour, Epistle :: Romans 6.3-11 || 6th Hour, Gospel :: Mark 1.9-11 || 9th Hour, Prophecy :: Isaiah 49.8-15 || 9th Hour, Epistle :: Titus 2.11-14, 3.4-7 || 9th Hour, Gospel :: Matthew 3.13-17"
2030-01-04,slavic,Friday of the 32nd week after Pentecost,"1 Peter 1.1-2, 10-12, 2.6-10",Mark 10.23-32,,,"1st Hour, Prophecy :: Micah 5.2-4 || 1st Hour, Epistle :: Hebrews 1.1-12 || 1st Hour, Gospel :: Matthew 1.18-25 || 3rd Hour, Prophecy :: Jeremiah (Baruch 3.35-4.4) || 3rd Hour, Epistle :: Galatians 3.23-29 || 3rd Hour, Gospel :: Luke 2.1-20 || 6th Hour, Prophecy :: Isaiah 7.10-16; 8.1-4, 9-10 || 6th Hour, Epistle :: Hebrews 1.10-2.3 || 6th Hour, Gospel :: Matthew 2.1-12 || 9th Hour, Prophecy :: Isaiah 9.6-7 || 9th Hour, Epistle :: Hebrews 2.11-18 || 9th Hour, Gospel :: Matthew 2.13-23"
2030-01-05,greek,Saturday of the 32nd week after Pentecost,1 Timothy 3.14-4.5 ~ Saturday before Theophany || 1 Corinthians 9.19-27 ~ at Vespers,Matthew 3.1-11 ~ Saturday before Theophany || Luke 3.1-18 ~ at Vespers,,"Genesis 1.1-13 || Exodus 14.15-18, 21-23, 27-29 || Exodus 15.22-16.1 || Joshua 3.7-8, 15-17 || 4[2] Kings 2.6-14 || 4[2] Kings 5.9-14 || Isaiah 1.16-20 || Genesis 32.1-10 || Exodus 2.5-10 || Judges 6.36-40 || 3[1] Kings 18.30-39 || 4[2] Kings 2.19-22 || Isaiah 49.8-15",Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel
2030-01-05,slavic,Saturday of the 32nd week after Pentecost,1 Thessalonians 5.14-23 || Galatians 3.8-12 ~ Saturday before Nativity,Luke 16.10-15 || Luke 13.18-29 ~ Saturday before Nativity,,,
2030-01-06,greek,32nd Sunday after Pentecost,"Titus 2.11-14, 3.4-7 ~ Theophany",Matthew 3.13-17 ~ Theophany,Mark 1.9-11,,Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel
2030-01-06,slavic,32nd Sunday after Pentecost,"Hebrews 11.9-10, 17-23, 32-40 ~ Sunday before Nativity || Galatians 3.15-22 ~ at Vespers",Matthew 1.1-25 ~ Sunday before Nativity || Luke 2.1-20 ~ at Vespers,10th Matins Gospel :: John 21.1-14,"Genesis 1.1-13 || Numbers 24.2-3, 5-9, 17-18 || Micah 4.6-7; 5.2-4 || Isaiah 11.1-10 || Jeremiah (Baruch 3.35-4.4) || Daniel 2.31-36, 44-45 || Isaiah 9.6-7 || Isaiah 7.10-16; 8.1-4, 9-10",
2030-01-07,greek,Monday of the 33rd week after Pentecost,Acts 19.1-8 ~ Forerunner || 2 Timothy 2.20-26,John 1.29-34 ~ Forerunner || Luke 19.37-44,,,
2030-01-07,slavic,Monday of the 33rd week after Pentecost,Galatians 4.4-7 ~ Nativity,Matthew 2.1-12 ~ Nativity,Matthew 1.18-25,,
2030-01-08,greek,Tuesday of the 33rd week after Pentecost,2 Timothy 3.16-4.4 || Romans 6.3-11 ~ Afterfeast of Theophany,Luke 19.45-48 || John 3.22-33 ~ Afterfeast of Theophany,,,
2030-01-08,slavic,Tuesday of the 33rd week after Pentecost,Hebrews 2.11-18 ~ Theotokos,Matthew 2.13-23 ~ Theotokos,,,
2030-01-09,greek,Wednesday of the 33rd week after Pentecost,2 Timothy 4.9-22 || 2 Timothy 2.1-10 ~ Afterfeast of Theophany,Luke 20.1-8 || Mark 1.9-15 ~ Afterfeast of Theophany,,,
2030-01-09,slavic,Wednesday of the 33rd week after Pentecost,"2 Timothy 4.9-22 || Acts 6.8-7.5, 47-60 ~ St Stephen",Mark 11.22-26 || Matthew 21.33-42 ~ St Stephen,,,
2030-01-10,greek,Thursday of the 33rd week after Pentecost,Titus 1.5-2.1 || Ephesians 4.7-13 ~ Afterfeast of Theophany,Luke 20.9-18 || Luke 3.19-22 ~ Afterfeast of Theophany,,,
2030-01-10,slavic,Thursday of the 33rd week after Pentecost,Titus 1.5-2.1,Mark 11.27-33,,,
2030-01-11,greek,Friday of the 33rd week after Pentecost,Titus 1.15-2.10 || 2 Corinthians 4.6-15 ~ St Theodosius || Hebrews 13.7-16 ~ Afterfeast of Theophany,Luke 20.19-26 || Matthew 11.27-30 ~ St Theodosius || Luke 4.1-15 ~ Afterfeast of Theophany,Luke 6.17-23,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2030-01-11,slavic,Friday of the 33rd week after Pentecost,Titus 1.15-2.10,Mark 12.1-12,,,
2030-01-12,greek,Saturday of the 33rd week after Pentecost,Ephesians 6.10-17 ~ Saturday after Theophany || Ephesians 1.16-23 || Acts 18.22-28 ~ Afterfeast of Theophany,Matthew 4.1-11 ~ Saturday after Theophany || Luke 12.32-40 || John 10.39-42 ~ Afterfeast of Theophany,,,
2030-01-12,slavic,Saturday of the 33rd week after Pentecost,1 Timothy 6.11-16 ~ Saturday after Nativity || 1 Timothy 3.14-4.5 ~ Saturday before Theophany || Ephesians 1.16-23,Matthew 12.15-21 ~ Saturday after Nativity || Matthew 3.1-11 ~ Saturday before Theophany || Luke 17.3-10,,,
2030-01-13,greek,33rd Sunday after Pentecost,Ephesians 4.7-13 ~ Sunday after Theophany || Galatians 3.23-4.5 ~ Afterfeast of Theophany,Matthew 4.12-17 ~ Sunday after Theophany || Luke 20.1-8 ~ Afterfeast of Theophany,11th Matins Gospel :: John 21.15-25,,
2030-01-13,slavic,33rd Sunday after Pentecost,Galatians 1.11-19 ~ Sunday after Nativity,Matthew 2.13-23 ~ Sunday after Nativity and Theotokos,11th Matins Gospel :: John 21.15-25,,
2030-01-14,greek,Monday of the 34th week after Pentecost,"Hebrews 3.5-11, 17-19 || Acts 2.38-43 ~ Leavetaking of Theophany",Luke 20.27-44 || Luke 4.1-15 ~ Leavetaking of Theophany,,,
2030-01-14,slavic,Monday of the 34th week after Pentecost,2 Timothy 4.5-8 ~ Sunday before Theophany || Colossians 2.8-12 ~ Circumcision || Hebrews 7.26-8.2 ~ St Basil,"Mark 1.1-8 ~ Sunday before Theophany || Luke 2.20-21, 40-52 ~ Circumcision || Luke 6.17-23 ~ St Basil",John 10.9-16,"Composite 1 - Genesis 17.1-2, 4, 5-7, 8, 9-10, 11-12, 14 || Proverbs 8.22-30 || Proverbs 10.31-11.12",
2030-01-15,greek,Tuesday of the 34th week after Pentecost,Hebrews 4.1-13 || Galatians 5.22-6.2 ~ John the Hut-Dweller,Luke 21.12-19 || Luke 12.32-40 ~ John the Hut-Dweller,,,
2030-01-15,slavic,Tuesday of the 34th week after Pentecost,Hebrews 4.1-13 || Galatians 5.22-6.2 ~ St Seraphim,Luke 21.12-19 || Luke 6.17-23 ~ St Seraphim,Matthew 11.27-30,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2030-01-16,greek,Wednesday of the 34th week after Pentecost,Hebrews 5.11-6.8 || Acts 12.1-11 ~ Peter's Chains,"Luke 21.5-8, 10-11, 20-24 || John 21.14-25 ~ Peter's Chains",,,
2030-01-16,slavic,Wednesday of the 34th week after Pentecost,Hebrews 5.11-6.8,"Luke 21.5-7, 10-11, 20-24",,,
2030-01-17,greek,Thursday of the 34th week after Pentecost,Hebrews 7.1-6 || Hebrews 13.17-21 ~ St Anthony,Luke 21.28-33 || Luke 6.17-23 ~ St Anthony,Matthew 11.27-30,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
2030-01-17,slavic,Thursday of the 34th week after Pentecost,Hebrews 7.1-6,Luke 21.28-33,,,
2030-01-18,greek,Friday of the 34th week after Pentecost,Hebrews 7.18-25 || Hebrews 13.7-16 ~ Athanasius & Cyril,Luke 21.37-22.8 || Matthew 5.14-19 ~ Athanasius & Cyril,,,
2030-01-18,slavic,Friday of the 34th week after Pentecost,1 Corinthians 9.19-27 ~ Eve of Theophany,Luke 3.1-18 ~ Eve of Theophany,,"Genesis 1.1-13 || Exodus 14.15-18, 21-23, 27-29 || Exodus 15.22-16.1 || Joshua 3.7-8, 15-17 || 4[2] Kings 2.6-14 || 4[2] Kings 5.9-14 || Isaiah 1.16-20 || Genesis 32.1-10 || Exodus 2.5-10 || Judges 6.36-40 || 3[1] Kings 18.30-39 || 4[2] Kings 2.19-22 || Isaiah 49.8-15","1st Hour, Prophecy :: Isaiah 35.1-10 || 1st Hour, Epistle :: Acts 13.25-33 || 1st Hour, Gospel :: Matthew 3.1-11 || 3rd Hour, Prophecy :: Isaiah 1.16-20 || 3rd Hour, Epistle :: Acts 19.1-8 || 3rd Hour, Gospel :: Mark 1.1-8 || 6th Hour, Prophecy :: Isaiah 12.3-6 || 6th Hour, Epistle :: Romans 6.3-11 || 6th Hour, Gospel :: Mark 1.9-15 || 9th Hour, Prophecy :: Isaiah 49.8-15 || 9th Hour, Epistle :: Titus 2.11-14, 3.4-7 || 9th Hour, Gospel :: Matthew 3.13-17 || Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel"
2030-01-19,greek,Saturday of the 34th week after Pentecost,Ephesians 2.11-13 || Galatians 5.22-6.2 ~ Macarius the Great,Luke 13.18-29,,,
2030-01-19,slavic,Saturday of the 34th week after Pentecost,"Titus 2.11-14, 3.4-7 ~ Theophany",Matthew 3.13-17 ~ Theophany,Mark 1.9-11,,Great Blessing of Waters :: Isaiah 35.1-10 || Great Blessing of Waters :: Isaiah 55.1-13 || Great Blessing of Waters :: Isaiah 12.3-6 || Great Blessing of Waters :: 1 Corinthians 10.1-4 ~ Epistle || Great Blessing of Waters :: Mark 1.9-11 ~ Gospel
2030-01-20,greek,34th Sunday after Pentecost,Colossians 3.4-11 || 2 Corinthians 4.6-15 ~ St. Euthymius,Luke 17.12-19 || Luke 6.17-23 ~ St Euthymius,1st Matins Gospel :: Matthew 28.16-20,Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 3.1-9 || Wisdom of Solomon 4.7-15,
