saint_id,image_path,license,credit,source,kind,tag,title,era,by
OS-0001,icons/permission/theophany-works/OS-0001-protection.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-holy-protection-of-the-mother-of-god-usa-21st-c-00vmt019/,shop,Available to order,The Holy Protection of the Mother of God,21st c.,Theophany Works
OS-0001,icons/permission/theophany-works/OS-0001-odigitria.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-theotokos-odigitria-the-directress-21st-c-00vmt011/,shop,Available to order,Theotokos Hodegetria — the Directress,21st c.,Theophany Works
OS-0001,icons/permission/theophany-works/OS-0001-annunciation.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-annunciation-20th-c-00fan002/,shop,Available to order,The Annunciation,20th c.,Theophany Works
OS-0001,icons/permission/theophany-works/OS-0001-allpure-blue.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-theotokos-all-pure-in-blue-russian-21st-c-00vmt003/,shop,Available to order,Theotokos All-Pure in Blue (Russian),21st c.,Theophany Works
OS-0001,icons/OS-0001-vladimir.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Virgin_of_Vladimir.jpg,museum,Public domain,The Vladimir Mother of God,12th c.,Tretyakov Gallery · Moscow
OS-0001,icons/OS-0001-hagia-sophia.jpg,CC0,Myrabella,https://commons.wikimedia.org/wiki/File:Apse_mosaic_Hagia_Sophia_Virgin_and_Child.jpg,museum,Public domain,Apse Mosaic · Hagia Sophia,9th c.,Constantinople
OS-0002,icons/OS-0002.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Greek_School_-_Icon_of_Saint_John_the_Baptist_-_1102557_-_National_Trust.jpg,museum,Public domain,St. John the Forerunner & Baptist,,
OS-0002,icons/permission/theophany-works/OS-0002-stjb07.jpg,Permission:theophany-works,,https://theophanyworks.com/st-john-the-forerunner-baptist-21st-c-00stjb07/,shop,Available to order,St. John The Forerunner Baptist,21st c.,Theophany Works
OS-0002,icons/permission/theophany-works/OS-0002-stjb08.jpg,Permission:theophany-works,,https://theophanyworks.com/st-john-the-forerunner-baptist-21st-c-00stjb08/,shop,Available to order,St. John The Forerunner Baptist,21st c.,Theophany Works
OS-0002,icons/permission/theophany-works/OS-0002-stjb02.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-the-forerunner-and-baptist-00stjb02/,shop,Available to order,St. John The Forerunner and Baptist,,Theophany Works
OS-0002,icons/permission/theophany-works/OS-0002-stjb01.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-the-forerunner-and-baptist-00stjb01/,shop,Available to order,St. John The Forerunner and Baptist,,Theophany Works
OS-0002,icons/permission/theophany-works/OS-0002-stjb03.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-the-forerunner-and-baptist-00stjb03/,shop,Available to order,St. John The Forerunner and Baptist,,Theophany Works
OS-0002,icons/permission/theophany-works/OS-0002-stjb05.jpg,Permission:theophany-works,,https://theophanyworks.com/st-john-the-forerunner-and-baptist-angelic-messenger-00stjb05/,shop,Available to order,St. John The Forerunner and Baptist -Angelic Messenger,,Theophany Works
OS-0004,icons/OS-0004.jpg,CC-BY-SA-4.0,George E. Koronaios,"https://commons.wikimedia.org/wiki/File:The_Apostles_Peter_and_Paul_(Byantine_and_Christian_Musuem_of_Athens,_1-15-2023).jpg",museum,Creative Commons,Apostle Peter,,George E. Koronaios
