saint_id,image_path,license,credit,source
OS-0001,icons/permission/theophany-works/OS-0001.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-sweet-kissing-theotokos-glykophiloussa-detail-21st-c-00vmt002/
OS-0002,icons/permission/theophany-works/OS-0002.jpg,Permission:theophany-works,,https://theophanyworks.com/st-john-the-baptist-00stjb06/
OS-0012,icons/permission/theophany-works/OS-0012.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-george-the-trophy-bearer-00stge01/
OS-0013,icons/permission/theophany-works/OS-0013.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-demetrios-the-myrrh-streamer-00stde02/
OS-0014,icons/permission/theophany-works/OS-0014.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-panteleimon-the-unmercenary-00stpn01/
OS-0015,icons/permission/theophany-works/OS-0015.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-catherine-the-great-martyr-00stcg01/
OS-0016,icons/permission/theophany-works/OS-0016.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-barbara-the-great-martyr-00stba01/
OS-0019,icons/permission/theophany-works/OS-0019.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-st-nicholas-of-myra-the-wonderworker-00stni03/
OS-0021,icons/permission/theophany-works/OS-0021.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-st-basil-the-great-liturgizing-00stbg01/
OS-0023,icons/permission/theophany-works/OS-0023.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-chrysostom-russian-00stjc02/
OS-0026,icons/permission/theophany-works/OS-0026.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-anthony-the-great-00stag01/
OS-0027,icons/permission/theophany-works/OS-0027.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-mary-of-egypt-21st-c-00stme06/
OS-0037,icons/permission/theophany-works/OS-0037.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-constantine-the-great-00stco01/
OS-0038,icons/permission/theophany-works/OS-0038.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-sts-cyril-and-methodius-00stcm02/
OS-0039,icons/OS-0039.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Saint_Nino.jpg
OS-0042,icons/OS-0042.jpg,PD-old,,https://commons.wikimedia.org/wiki/File:Dmitry_Stelletski_Icon_of_Sergius_of_Radonezh.jpg
OS-0043,icons/permission/theophany-works/OS-0043.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-seraphim-of-sarov-00stsv01/
OS-0046,icons/permission/theophany-works/OS-0046.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-nektarios-of-aegina-00stna01/
OS-0047,icons/permission/theophany-works/OS-0047.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-xenia-of-saint-petersburg-21st-c-00stxp01/
OS-0048,icons/OS-0048.jpg,CC0,,https://commons.wikimedia.org/wiki/File:Icons_of_Matrona_of_Moscow_(Wittgenstein)-6.jpg
OS-0003,icons/OS-0003.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Fyodor_Zubov.Andrew_the_Apostle.1669.jpg
OS-0004,icons/permission/theophany-works/OS-0004.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-peter-the-apostle-00stpe02/
OS-0005,icons/permission/theophany-works/OS-0005.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-the-theologian-21st-c-00stjt01/
OS-0006,icons/permission/theophany-works/OS-0006.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-luke-the-evangelist-21st-c-00stle01/
OS-0007,icons/permission/theophany-works/OS-0007.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-mary-magdalen-00stmm01/
OS-0009,icons/permission/theophany-works/OS-0009.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-stephen-the-protomartyr-00stsp02/
OS-0011,icons/permission/theophany-works/OS-0011.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-joachim-00stjo01/
OS-0017,icons/permission/theophany-works/OS-0017.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-marina-the-demon-slayer-21st-c-00stmd02/
OS-0018,icons/permission/theophany-works/OS-0018.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-theodore-the-tyron-00sttt01/
OS-0020,icons/permission/theophany-works/OS-0020.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-spyridon-of-trimythus-00stth01/
OS-0022,icons/permission/theophany-works/OS-0022.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-st-gregory-the-theologian-liturgizing-00stgt01/
OS-0024,icons/permission/theophany-works/OS-0024.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-athanasios-the-great-liturgizing-00stat01/
OS-0025,icons/permission/theophany-works/OS-0025.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-gregory-palamas-21st-c-00stgp01/
OS-0028,icons/OS-0028.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:StPakhom.jpg
OS-0030,icons/permission/theophany-works/OS-0030.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-moses-the-black-00stmb01/
OS-0031,icons/OS-0031.jpg,PD-old,,"https://commons.wikimedia.org/wiki/File:Hosios_Luka_-_Ephraim.jpg"
OS-0033,icons/OS-0033.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:John_Climacus.jpg
OS-0036,icons/permission/theophany-works/OS-0036.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-sts-cosmas-and-damian-00stcd01/
OS-0040,icons/OS-0040.jpg,PD-art,,"https://commons.wikimedia.org/wiki/File:Saint_Vladimir_icon_(GTG,_15_c.).jpg"
OS-0044,icons/permission/theophany-works/OS-0044.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-herman-of-alaska-00stha02/
OS-0373,icons/OS-0373.jpg,PD-art,,"https://commons.wikimedia.org/wiki/File:Basil_of_Ancyra_by_M.Dikarev_(1890,_Hermitage).jpg"
OS-0375,icons/OS-0375.jpg,PD-art,,https://commons.wikimedia.org/wiki/File:Kath._Illustratie_1869-1870_nr_26_p.204_gravure_De_H._Telemachus.jpg
OS-0008,icons/permission/theophany-works/OS-0008.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-photini-the-samaritan-woman-00stph02/
OS-0010,icons/permission/theophany-works/OS-0010.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-thekla-the-protomartyr-and-equal-to-the-apostles-21st-c-00sthd02/
OS-0045,icons/permission/theophany-works/OS-0045.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-of-kronstadt-21st-c-00stjk01/
OS-0049,icons/permission/theophany-works/OS-0049.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-luke-the-surgeon-21st-c-00stls01/
OS-0050,icons/OS-0050.jpg,PD,,https://commons.wikimedia.org/wiki/File:Stjohn_shanghai.png
OS-0051,icons/permission/theophany-works/OS-0051.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-paisios-the-athonite-00stpa01/
OS-0052,icons/permission/theophany-works/OS-0052.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-porphyrios-of-kavsokalyvia-21st-c-00stpk01/
OS-0054,icons/permission/theophany-works/OS-0054.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-innocent-of-alaska-00stin01/
OS-0056,icons/permission/theophany-works/OS-0056.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-holy-prophet-elias-elijah-cretan-17th-c-00stjt02/
OS-0058,icons/permission/theophany-works/OS-0058.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-phanourios-00stph01/
OS-0060,icons/permission/theophany-works/OS-0060.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-paraskevi-of-rome-21th-c-00stpr07/
OS-0062,icons/permission/theophany-works/OS-0062.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-stylianos-00stst01/
OS-0066,icons/permission/theophany-works/OS-0066.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-modestos-of-jerusalem-00stmo01/
OS-0067,icons/permission/theophany-works/OS-0067.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-haralambos-00sthr01/
OS-0070,icons/permission/theophany-works/OS-0070.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-arsenios-the-cappadocian-00stac01/
OS-0073,icons/permission/theophany-works/OS-0073.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-dionysios-of-zakynthos-00stdz01/
OS-0077,icons/permission/theophany-works/OS-0077.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-euphrosynos-the-cook-00stec01/
OS-0079,icons/permission/theophany-works/OS-0079.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-patrick-the-enlightener-of-ireland-00stpi01/
OS-0086,icons/permission/theophany-works/OS-0086.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-sts-sophia-faith-hope-and-love-21st-c-00stsoi01/
OS-0087,icons/permission/theophany-works/OS-0087.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-silouan-the-athonite-21st-c-00stsi01/
OS-0268,icons/permission/theophany-works/OS-0268.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-st-kassiani-the-hymnographer-00stkh01/
OS-0374,icons/permission/theophany-works/OS-0374.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-emmelia-of-caesarea-00stem01/
OS-0389,icons/permission/theophany-works/OS-0389.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-nikephoros-the-leper-00stnl01/
OS-0405,icons/permission/theophany-works/OS-0405.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-domnika-of-constantinople-00stdo01/
OS-0476,icons/permission/theophany-works/OS-0476.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-cyril-of-alexandria-21st-c-00stca02/
OS-0494,icons/permission/theophany-works/OS-0494.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-efthymios-the-great-00steg01/
OS-0503,icons/permission/theophany-works/OS-0503.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-maximus-the-confessor-21st-c-00stmx01/
OS-0579,icons/permission/theophany-works/OS-0579.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-righteous-symeon-the-god-receiver-00stsy01/
OS-0603,icons/permission/theophany-works/OS-0603.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-photios-the-great-00stpg02/
OS-0611,icons/permission/theophany-works/OS-0611.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-parthenios-of-lampsakos-00stpl07/
OS-0625,icons/permission/theophany-works/OS-0625.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-apolonia-of-alexandria-21st-c-00stap01/
OS-0637,icons/permission/theophany-works/OS-0637.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-theodora-the-empress-and-restorer-of-orthodoxy-00stth01/
OS-0666,icons/permission/theophany-works/OS-0666.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-anthimos-of-chios-00stac10/
OS-0746,icons/permission/theophany-works/OS-0746.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-evdoxia-of-heliopolis-21st-c-00stev01/
OS-0766,icons/permission/theophany-works/OS-0766.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-gerasimos-of-the-jordan-00stgj01/
OS-0790,icons/permission/theophany-works/OS-0790.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-paul-the-simple-20th-c-00stps01/
OS-0971,icons/permission/theophany-works/OS-0971.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-sts-raphael-nicholas-and-irene-21st-c-00stnri01/
OS-1011,icons/permission/theophany-works/OS-1011.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-sts-zosimas-and-sabbatius-of-solovki-russian-17th-c-00stja01/
OS-1061,icons/permission/theophany-works/OS-1061.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-mark-the-evangelist-21st-c-00stme01/
OS-1077,icons/permission/theophany-works/OS-1077.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-basil-of-ostrog-20th-c-00stbo01/
OS-1086,icons/permission/theophany-works/OS-1086.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-holy-prophet-jeremiah-mt-athos-13th-c-00prje01/
OS-1118,icons/permission/theophany-works/OS-1118.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-ephraim-of-nea-makri-00sten01/
OS-1135,icons/permission/theophany-works/OS-1135.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-christopher-00stch01/
OS-1141,icons/permission/theophany-works/OS-1141.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-isidora-the-fool-for-christ-00stis01/
OS-1225,icons/permission/theophany-works/OS-1225.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-righteous-melchizedek-21st-c-bust-00rime02/
OS-1362,icons/permission/theophany-works/OS-1362.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-jerome-21st-c-00stje01/
OS-1363,icons/permission/theophany-works/OS-1363.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-lazar-the-great-martyr-of-serbia-00stls01/
OS-1391,icons/permission/theophany-works/OS-1391.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-saint-methodios-of-olympus-00stme01/
OS-1509,icons/permission/theophany-works/OS-1509.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-euphemia-00steu05/
OS-1532,icons/permission/theophany-works/OS-1532.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-nikodemos-the-hagiorite-00stnh01/
OS-1548,icons/permission/theophany-works/OS-1548.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-elizabeth-the-new-martyr-21st-c-00stel01/
OS-1568,icons/permission/theophany-works/OS-1568.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-markella-of-chios-20th-c-00stmc01/
OS-1573,icons/permission/theophany-works/OS-1573.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-christina-of-tyre-00stct01/
OS-1683,icons/permission/theophany-works/OS-1683.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-lawrence-the-deacon-00stld01/
OS-1741,icons/permission/theophany-works/OS-1741.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-andrew-the-general-00stag05/
OS-1764,icons/permission/theophany-works/OS-1764.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-irenaeus-of-lyons-00stil01/
OS-1772,icons/permission/theophany-works/OS-1772.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-kosmas-the-aetolian-00stka01/
OS-1801,icons/permission/theophany-works/OS-1801.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-alexander-of-constantinople-00stac01/
OS-1904,icons/permission/theophany-works/OS-1904.jpg,Permission:theophany-works,,https://theophanyworks.com/copy-of-icon-of-st-stefan-the-first-crowned-of-serbia-00stls01/
OS-1929,icons/permission/theophany-works/OS-1929.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-romanos-the-melodist-00strm01/
OS-1933,icons/permission/theophany-works/OS-1933.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-koukouzeles-00stjk01/
OS-1971,icons/permission/theophany-works/OS-1971.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-saint-bacchus-the-martyr-00stba05/
OS-1998,icons/permission/theophany-works/OS-1998.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-philip-the-deacon-00stpd01/
OS-2014,icons/permission/theophany-works/OS-2014.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-benjamin-the-deacon-00stbd01/
OS-2066,icons/permission/theophany-works/OS-2066.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-james-the-just-macedonia-14th-c-00stja01/
OS-2083,icons/permission/theophany-works/OS-2083.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-olga-of-alaska-healer-of-the-abused-and-broken-00stoa01/
OS-2201,icons/permission/theophany-works/OS-2201.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-matthew-the-evangelist-21st-c-00stma01/
OS-2263,icons/permission/theophany-works/OS-2263.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-stephen-the-new-21st-c-00stsn01/
OS-2277,icons/permission/theophany-works/OS-2277.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-sebastian-of-jackson-00stsj01/
OS-2300,icons/permission/theophany-works/OS-2300.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-john-of-damascus-00stjd01/
OS-2304,icons/permission/theophany-works/OS-2304.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-savva-the-sanctified-00stss01/
OS-2333,icons/permission/theophany-works/OS-2333.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-daniel-the-stylite-00stds02/
OS-2393,icons/permission/theophany-works/OS-2393.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-st-ignatios-of-antioch-21st-c-00stia02/
