saint_id,quote,work,locus,translation,source_url
OS-0024,For He was made man that we might be made God; and He manifested Himself by a body that we might receive the idea of the unseen Father; and He endured the insolence of men that we might inherit immortality.,On the Incarnation of the Word,§54.3,"NPNF2 Vol. 4 (Archibald Robertson, PD)",https://www.ccel.org/ccel/schaff/npnf204.txt
OS-2524,"This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.",Genesis,2:23,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2525,I have gotten a man from the LORD.,Genesis,4:1,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2534,This same shall comfort us concerning our work and toil of our hands.,Genesis,5:29,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2545,Now will I praise the LORD.,Genesis,29:35,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2546,God hath taken away my reproach.,Genesis,30:23,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2547,"But as for you, ye thought evil against me; but God meant it unto good, to bring to pass, as it is this day, to save much people alive.",Genesis,50:20,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2549,"Let us go up at once, and possess it; for we are well able to overcome it.",Numbers,13:30,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Numbers
OS-2553,"If thou wilt go with me, then I will go: but if thou wilt not go with me, then I will not go.",Judges,4:8,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Judges
OS-2556,The LORD the Judge be judge this day between the children of Israel and the children of Ammon.,Judges,11:27,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Judges
OS-2560,Let me die with the Philistines.,Judges,16:30,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Judges
OS-2562,"The LORD your God, he is God in heaven above, and in earth beneath.",Joshua,2:11,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Joshua
OS-2563,"If I perish, I perish.",Esther,4:16,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Esther
OS-2564,"LORD, it is nothing with thee to help, whether with many, or with them that have no power.",2 Chronicles,14:11,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/2_Chronicles
OS-2565,We have no might against this great company that cometh against us; neither know we what to do: but our eyes are upon thee.,2 Chronicles,20:12,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/2_Chronicles
OS-2568,"As the LORD liveth, what the LORD saith unto me, that will I speak.",1 Kings,22:14,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/1_Kings
OS-2569,The hand of our God is upon all them for good that seek him; but his power and his wrath is against all them that forsake him.,Ezra,8:22,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Ezra
OS-2573,"All wisdom cometh from the Lord, and is with him for ever.",Wisdom of Sirach,1:1,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Sirach
OS-2574,"The LORD recompense thy work, and a full reward be given thee of the LORD God of Israel, under whose wings thou art come to trust.",Ruth,2:12,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Ruth
OS-0057,"I beseech thee, shew me thy glory.",Exodus,33:18,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Exodus
OS-1563,"The LORD bless thee, and keep thee.",Numbers,6:24,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Numbers
OS-2351,"Sing ye to the LORD, for he hath triumphed gloriously; the horse and his rider hath he thrown into the sea.",Exodus,15:21,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Exodus
OS-0090,"As for me and my house, we will serve the LORD.",Joshua,24:15,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Joshua
OS-2346,"Awake, awake, Deborah: awake, awake, utter a song.",Judges,5:12,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Judges
OS-2324,"My heart rejoiceth in the LORD, mine horn is exalted in the LORD.",1 Samuel,2:1,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/1_Samuel
OS-1744,"Speak, LORD; for thy servant heareth.",1 Samuel,3:9,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/1_Samuel
OS-2359,"Whither thou goest, I will go; and where thou lodgest, I will lodge: thy people shall be my people, and thy God my God.",Ruth,1:16,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Ruth
OS-2356,"God hath made me to laugh, so that all that hear will laugh with me.",Genesis,21:6,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2355,I will go.,Genesis,24:58,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2349,Surely the LORD is in this place; and I knew it not.,Genesis,28:16,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Genesis
OS-2352,Thou art the man.,2 Samuel,12:7,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/2_Samuel
OS-2421,The LORD is my shepherd; I shall not want.,Psalms,23:1,King James Version (PD),https://en.wikisource.org/wiki/Bible_(King_James)/Psalms
