record_id,role,product_url,note
OS-0000,card,https://legacyicons.com/mystical-supper-whirledge-icon-f386/,The Mystical Supper — the dining-room card names this icon by name
OS-0000,card,https://legacyicons.com/feeding-of-the-5000-athos-icon-f231/,Christ blessing the loaves — neither vendor stocks a Christ Blessing the Bread
OS-0000,card,https://legacyicons.com/christ-as-a-youth-in-the-temple-decani-icon-f411/,Christ Among the Teachers — Christ at twelve in the Temple
OS-0001,card,https://legacyicons.com/theotokos-the-unfading-flower-icon-t173/,The Theotokos the Unfading Bloom (Unfading Flower)
OS-1280,hero,https://legacyicons.com/saint-martha-the-sister-of-lazarus-icon-s497/,Martha of Bethany — the right Martha (sister of Lazarus; NOT the mother of Symeon Stylites OS-0094/OS-2676)
OS-1527,card,https://legacyicons.com/apostles-aquila-and-priscilla-whirledge-icon-s660/,Aquila and Priscilla are two rows; the pair icon is a card on both rather than either one's portrait
OS-2580,card,https://legacyicons.com/apostles-aquila-and-priscilla-whirledge-icon-s660/,see OS-1527
OS-2425,card,https://legacyicons.com/massacre-of-the-holy-innocents-athos-icon-f238/,"The 14,000 Holy Innocents — a card and not the hero: it is the commemoration's own icon, but an avatar-sized crop of slain infants would ride into the finder rows"
OS-2524,card,https://legacyicons.com/adam-naming-the-animals-meteora-icon-f262/,"Paradise — the garden card's ""original vocation to cultivate and care for creation"""
HH-0012,card,https://legacyicons.com/archangel-raphael-icon-s391/,"Raphael with the fish of Tobit, and his own words from Tobit 12 on the scroll — Tobias himself is not in it, so it stays on the archangel and not on OS-2572"
